primary key, precinct, population, polygon type
"5073", "Tingley", "0.0", "Polygon"
"5074", "Clear Lake", "0.0", "Polygon"
"5075", "Concrete", "0.0", "Polygon"
"5076", "Birdsview", "0.0", "Polygon"
"5077", "Minkler", "0.0", "Polygon"
"5078", "Hamilton", "0.0", "MultiPolygon"
"5079", "Lyman", "0.0", "Polygon"
"5080", "Prairie", "0.0", "Polygon"
"5081", "McMurray East", "0.0", "Polygon"
"5082", "McMurray West", "0.0", "Polygon"
"5083", "Starbird", "0.0", "Polygon"
"5084", "Lake Sixteen", "0.0", "Polygon"
"5085", "Little Mountain", "0.0", "Polygon"
"5086", "Big Lake", "0.0", "Polygon"
"5087", "Digby", "0.0", "Polygon"
"5088", "Nookachamps", "0.0", "Polygon"
"5089", "Hamburg", "0.0", "Polygon"
"5090", "Van Fleet", "0.0", "MultiPolygon"
"5091", "Sedro-Woolley 4", "0.0", "Polygon"
"5092", "Wind Mountain North", "0.0", "Polygon"
"5093", "Chenowith North", "0.0", "Polygon"
"5106", "Cascades", "19.0", "MultiPolygon"
